[2017-03-31 18:20:29]nPos=1000, DB_OPT_插入_任务图号_成功：nOid=85311, nTaskPos=41, Product_no=BY1-170, PicNo=Dt6.644.5217, PicName = 电缆BY25
[2017-03-31 18:20:29]nPos=1150, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5219, PicName = 电缆BY27
[2017-03-31 18:20:29]nPos=1151, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5220, PicName = 电缆BY28
[2017-03-31 18:20:29]nPos=1152, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5221, PicName = 电缆BY29
[2017-03-31 18:20:29]nPos=1153, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5222, PicName = 电缆BY30
[2017-03-31 18:20:29]nPos=1154, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5223, PicName = 电缆BY31
[2017-03-31 18:20:29]nPos=1155, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5224, PicName = 电缆BY32
[2017-03-31 18:20:29]nPos=1156, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5225, PicName = 电缆BY33
[2017-03-31 18:20:29]nPos=1157, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5226, PicName = 电缆BY34
[2017-03-31 18:20:29]nPos=1158, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5227, PicName = 电缆BY35
[2017-03-31 18:20:29]nPos=1159, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5228, PicName = 电缆BY36
[2017-03-31 18:20:29]nPos=1160, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5229, PicName = 电缆BY37
[2017-03-31 18:20:29]nPos=1161, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5230, PicName = 电缆BY38
[2017-03-31 18:20:29]nPos=1162, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5231, PicName = 电缆BY40
[2017-03-31 18:20:29]nPos=1163, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5232, PicName = 电缆BY41
[2017-03-31 18:20:29]nPos=1164, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5233, PicName = 电缆BY42
[2017-03-31 18:20:29]nPos=1165, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5234, PicName = 电缆BY43
[2017-03-31 18:20:29]nPos=1166, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5235, PicName = 电缆BY44
[2017-03-31 18:20:29]nPos=1167, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5236, PicName = 电缆BY45
[2017-03-31 18:20:29]nPos=1168, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.644.5237, PicName = 电缆BY46
[2017-03-31 18:20:29]nPos=1169, DB_OPT_插入_任务图号_成功：nOid=93374, nTaskPos=46, Product_no=BY1-170, PicNo=Dt6.645.1798, PicName = 电缆BY39
[2017-03-31 18:20:29]nPos=1170, DB_OPT_插入_产品代号_代号已存在：nOid=94715, nProdPos=47, Product_no=BY1-170
[2017-03-31 18:20:29]nPos=1171, DB_OPT_插入_任务_成功：nOid=94715, nTaskPos=47, Product_no=BY1-170, Project_name=NZ-XH1504-W5C-68-03SD, nCodeCnt=1, nPicNumCnt=1
[2017-03-31 18:20:29]nPos=1172, DB_OPT_插入_任务编号_成功：nOid=94715, nTaskPos=47, Product_no=BY1-170, nCodeIndex=1, szCodeName=201606-03
[2017-03-31 18:20:29]nPos=1173, DB_OPT_插入_任务图号_成功：nOid=94715, nTaskPos=47, Product_no=BY1-170, PicNo=Dt6.644.5234, PicName = 电缆BY43
[2017-03-31 18:20:29]nPos=1174, DB_OPT_插入_产品代号_代号已存在：nOid=94781, nProdPos=48, Product_no=BY1-170
[2017-03-31 18:20:29]nPos=1175, DB_OPT_插入_任务_成功：nOid=94781, nTaskPos=48, Product_no=BY1-170, Project_name=NZ-XH1504-W5C-68-03SD, nCodeCnt=1, nPicNumCnt=1
[2017-03-31 18:20:29]nPos=1176, DB_OPT_插入_任务编号_成功：nOid=94781, nTaskPos=48, Product_no=BY1-170, nCodeIndex=1, szCodeName=201606-03
[2017-03-31 18:20:29]nPos=1177, DB_OPT_插入_任务图号_成功：nOid=94781, nTaskPos=48, Product_no=BY1-170, PicNo=Dt6.644.5196, PicName = 电缆BY4
[2017-03-31 18:20:29]nPos=1178, DB_OPT_插入_产品代号_代号已存在：nOid=94789, nProdPos=49, Product_no=BY1-170
[2017-03-31 18:20:29]nPos=1179, DB_OPT_插入_任务_成功：nOid=94789, nTaskPos=49, Product_no=BY1-170, Project_name=NZ-XH1504-W5C-68-03SD, nCodeCnt=1, nPicNumCnt=1
[2017-03-31 18:20:29]nPos=1180, DB_OPT_插入_任务编号_成功：nOid=94789, nTaskPos=49, Product_no=BY1-170, nCodeIndex=1, szCodeName=201606-03
[2017-03-31 18:20:29]nPos=1181, DB_OPT_插入_任务图号_成功：nOid=94789, nTaskPos=49, Product_no=BY1-170, PicNo=Dt6.644.5223, PicName = 电缆BY31
[2017-03-31 18:20:29]nPos=1182, DB_OPT_插入_产品代号_代号已存在：nOid=103268, nProdPos=50, Product_no=BY1-170
[2017-03-31 18:20:29]nPos=1183, DB_OPT_插入_任务_成功：nOid=103268, nTaskPos=50, Product_no=BY1-170, Project_name=NZ-XH1504-W5C-68-03SD, nCodeCnt=1, nPicNumCnt=1
[2017-03-31 18:20:29]nPos=1184, DB_OPT_插入_任务编号_成功：nOid=103268, nTaskPos=50, Product_no=BY1-170, nCodeIndex=1, szCodeName=201606-04
[2017-03-31 18:20:29]nPos=1185, DB_OPT_插入_任务图号_成功：nOid=103268, nTaskPos=50, Product_no=BY1-170, PicNo=Dt6.644.5206, PicName = 电缆BY14
[2017-03-31 18:20:29]nPos=1186, DB_OPT_插入_产品代号_成功：nOid=83153, nProdPos=51, Product_no=BY1-180
[2017-03-31 18:20:29]nPos=1187, DB_OPT_插入_任务_成功：nOid=83153, nTaskPos=51, Product_no=BY1-180, Project_name=NZ-XH1504-W5C-68-07, nCodeCnt=1, nPicNumCnt=2
[2017-03-31 18:20:29]nPos=1188, DB_OPT_插入_任务编号_成功：nOid=83153, nTaskPos=51, Product_no=BY1-180, nCodeIndex=1, szCodeName=201606-04
[2017-03-31 18:20:29]nPos=1189, DB_OPT_插入_产品图号_成功：nOid=83153, nTaskPos=51, Product_no=BY1-180, PicNo=Dt6.644.5241, PicName = 电缆BY47
[2017-03-31 18:20:29]nPos=1190, DB_OPT_插入_任务图号_成功：nOid=83153, nTaskPos=51, Product_no=BY1-180, PicNo=Dt6.644.5241, PicName = 电缆BY47
[2017-03-31 18:20:29]nPos=1191, DB_OPT_插入_产品图号_成功：nOid=83153, nTaskPos=51, Product_no=BY1-180, PicNo=Dt6.644.5242, PicName = 电缆BY48
[2017-03-31 18:20:29]nPos=1192, DB_OPT_插入_任务图号_成功：nOid=83153, nTaskPos=51, Product_no=BY1-180, PicNo=Dt6.644.5242, PicName = 电缆BY48
[2017-03-31 18:20:29]nPos=1193, DB_OPT_插入_产品代号_代号已存在：nOid=84092, nProdPos=52, Product_no=BY1-180
[2017-03-31 18:20:29]nPos=1194, DB_OPT_插入_任务_成功：nOid=84092, nTaskPos=52, Product_no=BY1-180, Project_name=NZ-XH1504-W5C-68-07, nCodeCnt=1, nPicNumCnt=3
[2017-03-31 18:20:29]nPos=1195, DB_OPT_插入_任务编号_成功：nOid=84092, nTaskPos=52, Product_no=BY1-180, nCodeIndex=1, szCodeName=201606-03
[2017-03-31 18:20:29]nPos=1196, DB_OPT_插入_任务图号_成功：nOid=84092, nTaskPos=52, Product_no=BY1-180, PicNo=Dt6.644.5241, PicName = 电缆BY47
[2017-03-31 18:20:29]nPos=1197, DB_OPT_插入_任务图号_成功：nOid=84092, nTaskPos=52, Product_no=BY1-180, PicNo=Dt6.644.5242, PicName = 电缆BY48
[2017-03-31 18:20:29]nPos=1198, DB_OPT_插入_产品图号_成功：nOid=84092, nTaskPos=52, Product_no=BY1-180, PicNo=Dt6.644.5243, PicName = 电缆BY49
[2017-03-31 18:20:29]nPos=1199, DB_OPT_插入_任务图号_成功：nOid=84092, nTaskPos=52, Product_no=BY1-180, PicNo=Dt6.644.5243, PicName = 电缆BY49
[2017-03-31 18:20:29]nPos=1200, DB_OPT_插入_产品代号_代号已存在：nOid=85287, nProdPos=53, Product_no=BY1-180
[2017-03-31 18:20:29]nPos=1201, DB_OPT_插入_任务_成功：nOid=85287, nTaskPos=53, Product_no=BY1-180, Project_name=NZ-XH1504-W5C-68-07, nCodeCnt=1, nPicNumCnt=1
[2017-03-31 18:20:29]nPos=1202, DB_OPT_插入_任务编号_成功：nOid=85287, nTaskPos=53, Product_no=BY1-180, nCodeIndex=1, szCodeName=201606-04
[2017-03-31 18:20:29]nPos=1203, DB_OPT_插入_任务图号_成功：nOid=85287, nTaskPos=53, Product_no=BY1-180, PicNo=Dt6.644.5243, PicName = 电缆BY49
[2017-03-31 18:23:49]释放 CMainFrame::OnClose:Release 用时 0 毫秒
[2017-03-31 18:23:49]释放 CMainFrame::OnClose:DeleteItemInfo 用时 47 毫秒
